,motor_positions,beam_positions
0,206.0,281.872955
1,-440.0,289.87381
2,960.0,267.358459
3,-209.0,292.001251
4,-7.0,286.896515
5,-1624.0,320.122253
6,-1866.0,330.989166
7,1873.0,248.504166
8,1685.0,243.501709
9,-477.0,296.793793
10,-748.0,307.231293
11,1799.0,252.999435
12,591.0,275.999481
13,-954.0,309.497253
14,-193.0,295.213104
15,1244.0,262.495941
16,565.0,276.790955
17,434.0,281.498047
18,-1634.0,328.912384
19,100.0,288.895386
20,-1299.0,320.817413
21,1567.0,259.650299
22,1072.0,264.178528
23,66.0,288.097626
24,438.0,282.360046
25,-426.0,298.902313
26,1688.0,255.910614
27,-1686.0,330.003845
28,-1835.0,334.13031
29,563.0,281.099579
30,1955.0,249.501495
31,1159.0,265.911713
32,733.0,278.009216
33,1220.0,266.997467
34,810.0,275.002563
35,-899.0,315.337799
36,-529.0,310.554901
37,16.0,297.195618
38,1845.0,256.174835
39,1342.0,263.20459
40,1137.0,268.495239
41,1743.0,257.865967
42,-1786.0,332.453003
43,-1801.0,336.49939
44,1930.0,255.746353
45,290.0,290.886383
46,-1424.0,328.110992
47,1063.0,271.881836
48,-386.0,304.894318
49,1409.0,265.085937
50,-741.0,313.987976
51,-1982.0,338.000977
52,-1102.0,321.001007
53,1653.0,261.991364
54,-382.0,305.359528
55,67.0,295.413147
56,-94.0,298.996948
57,1686.0,258.998108
58,-1423.0,328.995087
59,1231.0,269.996887
60,-1790.0,335.367889
61,-697.0,315.003845
62,54.0,295.004486
63,1932.0,253.011734
64,1291.0,265.893341
65,1286.0,267.751099
66,-886.0,315.644226
67,-1666.0,334.116516
68,1424.0,264.449615
69,-1742.0,333.51239
70,1480.0,263.503845
71,-299.0,304.292633
72,-1291.0,326.004852
73,-1552.0,331.703827
74,1498.0,265.005066
75,780.0,275.815613
76,-907.0,316.000488
77,326.0,289.883545
78,-601.0,310.087616
79,270.0,293.999359
80,-299.0,300.004028
81,-223.0,301.98996
82,-41.0,300.0
83,-1947.0,338.006897
84,-1555.0,331.096985
85,609.0,281.881744
86,70.0,292.992126
87,-1413.0,322.916962
88,1005.0,270.374817
89,-414.0,302.669373
90,1987.0,252.498505
91,291.0,285.886139
92,-883.0,313.022552
93,-896.0,313.880219
94,-985.0,315.795837
95,-1309.0,322.998901
96,-722.0,309.015991
97,-1882.0,331.117889
98,872.0,273.244781
99,-303.0,297.361389
